BPPosition	MeanScore	Variance	StDev	Median
0	30.4215932745	28.6739312778	5.35480450416	32.0
1	30.9995523747	16.5582250311	4.06917989663	32.0
2	34.2500507026	32.2143438318	5.67576812703	37.0
3	34.8116244258	33.5527897455	5.79247699568	37.0
4	35.3589434685	27.6001176759	5.25358141423	37.0
5	38.4388766175	40.201163838	6.3404387733	41.0
6	38.3553232618	43.7280821686	6.61272123778	41.0
7	38.5391238085	41.3741961141	6.43227767701	41.0
8	38.7340521927	37.9781787519	6.16264381186	41.0
9	38.554037665	41.3102313316	6.42730358172	41.0
10	38.6816652679	39.3015058221	6.26909130752	41.0
11	38.7799586912	37.4925783594	6.12311835255	41.0
12	38.6348278785	40.0561768415	6.32899493139	41.0
13	38.7357408644	38.0467779536	6.16820702908	41.0
14	38.5964825562	40.6901289754	6.37888148309	41.0
15	38.3621793539	44.4680033336	6.66843334927	41.0
16	38.4586774391	42.4030934076	6.51176576725	41.0
17	38.592836977	40.0076983196	6.32516389666	41.0
18	38.4244262547	43.5053146595	6.59585587013	41.0
19	38.50711703	41.5131029551	6.44306626965	41.0
20	38.3409190617	44.743221548	6.68903741565	41.0
21	38.4041403855	43.0220699027	6.55912112274	41.0
22	38.5878238283	40.1410169074	6.33569387734	41.0
23	38.58064901	40.7102705694	6.38046005938	41.0
24	38.5779551119	40.5451616709	6.36750827804	41.0
25	38.5488522548	40.9255735757	6.39730987023	41.0
26	38.5025849406	42.1519359694	6.49245223082	41.0
27	38.5738440024	40.4267308129	6.35820185374	41.0
28	38.5263459096	41.1788158134	6.41707221507	41.0
29	38.4564012114	42.8375782965	6.5450422685	41.0
30	38.3346611328	45.0882799206	6.71478070532	41.0
31	37.9647050637	51.3999818215	7.16937806379	41.0
32	37.8959203728	51.5000899975	7.17635631763	41.0
33	37.7175788181	54.5116689034	7.38320180568	41.0
34	37.6060557126	55.9891624312	7.48259062299	41.0
35	37.5493259315	56.694250834	7.52955847537	41.0
36	37.5286838289	56.9136217031	7.54411172393	41.0
37	37.5626830703	56.0225674074	7.48482247	41.0
38	37.5491780242	56.3895684352	7.50929879783	41.0
39	37.9704878734	48.8554968118	6.9896707227	41.0
40	38.1844562435	45.8753549807	6.77313479717	41.0
41	38.3376062102	43.6581710131	6.60743301238	41.0
42	38.3160036862	44.6642859083	6.6831344374	41.0
43	38.4655388772	41.7465900881	6.46116011937	41.0
44	38.4749972209	41.9999624594	6.48073780209	41.0
45	38.4504915392	42.4476778963	6.51518824719	41.0
46	38.482594292	41.7188400871	6.45901231514	41.0
47	38.4332700576	42.819963823	6.54369649533	41.0
48	38.4192711387	42.8334655484	6.54472807292	41.0
49	38.379074557	43.409216033	6.58856706978	41.0
50	38.4593166735	41.7585448685	6.4620851796	41.0
51	38.483327464	41.5548017038	6.44630139722	41.0
52	38.4740213553	41.7618346035	6.46233971588	41.0
53	38.271866729	45.8629145934	6.77221637231	41.0
54	38.3013900569	44.4562612578	6.66755286877	41.0
55	38.3816409986	42.7906361396	6.54145520046	41.0
56	38.3921299412	42.8164489948	6.54342792387	41.0
57	38.3242383794	44.4400029166	6.66633354376	41.0
58	38.2890260946	44.9537660811	6.70475697405	41.0
59	38.227094356	45.8579205252	6.77184764486	41.0
60	38.2072315882	46.075641744	6.78790407593	41.0
61	38.2493455336	45.166792871	6.72062444056	41.0
62	38.249880308	45.1328682095	6.71810004461	41.0
63	38.1813649559	46.8153072991	6.84217124158	41.0
64	38.2194353387	45.6669591984	6.75773328849	41.0
65	38.1471256516	47.4283674926	6.88682564703	41.0
66	38.2136872359	45.7440316065	6.7634334185	41.0
67	38.1134809464	47.7701253817	6.91159354865	41.0
68	38.0644400526	48.391900061	6.95642868582	41.0
69	38.1138020486	47.2148890959	6.87130912533	41.0
70	38.1123398626	47.343469114	6.88065906102	41.0
71	38.0460084128	48.5968011183	6.97114058948	41.0
72	37.9941617781	49.4207854556	7.02999185316	41.0
73	37.9919423204	49.5057860243	7.03603482256	41.0
74	37.9934482083	49.1013747097	7.00723730936	41.0
75	37.8749670964	51.0930100568	7.14793746873	41.0
76	36.9771893544	52.8456756232	7.26950312079	41.0
77	37.3624805994	54.874899178	7.40775938986	41.0
78	37.7694313928	49.9066379716	7.06446303491	41.0
79	37.7789689938	51.6511990093	7.18687686059	41.0
80	37.8919973932	50.0933471431	7.07766537377	41.0
81	37.8847146357	51.1276242733	7.15035833181	41.0
82	37.9071640413	50.6956298095	7.1200863625	41.0
83	37.8209026163	52.5088711071	7.24630051178	41.0
84	37.7211544744	53.971879393	7.34655561423	41.0
85	37.7245279993	53.701787118	7.32815032037	41.0
86	37.6652256668	54.6557468513	7.39295251245	41.0
87	37.6717075356	53.7790091408	7.33341728943	41.0
88	37.6433089989	53.9988677026	7.34839218486	41.0
89	37.5740093904	54.8447491807	7.40572408213	41.0
90	37.5388824727	55.041096014	7.41896866242	41.0
91	37.4488658321	56.4158436244	7.51104810426	41.0
92	37.4173781292	56.4024849539	7.51015878353	41.0
93	37.3822451018	56.9539791407	7.54678601397	41.0
94	37.204186039	60.2785683036	7.76392737624	41.0
95	37.2264577522	58.815920166	7.6691538103	41.0
96	37.2254379303	58.7517751543	7.6649706558	41.0
97	37.1557266762	59.7099737414	7.72722289968	41.0
98	36.910451096	64.1896566517	8.01184477207	41.0
99	36.9886422825	62.6139971231	7.91290067694	41.0
100	34.9940546875	80.6606743536	8.98112879062	41.0
