BPPosition	MeanScore	Variance	StDev	Median
0	30.1152324588	33.1566692236	5.75818280568	32.0
1	30.747228978	20.5070128159	4.52846693881	32.0
2	33.8346180322	37.5142382794	6.12488679728	37.0
3	34.5611422645	36.9970321256	6.08251856763	37.0
4	35.0414546208	32.6740648689	5.71612323773	37.0
5	37.8059135141	49.1880489753	7.01341920716	41.0
6	37.9879920325	48.6358923358	6.97394381507	41.0
7	38.1194468348	47.6536573762	6.90316285308	41.0
8	38.3161313768	44.5891501981	6.67751077858	41.0
9	38.2029163936	46.5491574024	6.82269429202	41.0
10	38.2964760674	45.3090407906	6.73119906039	41.0
11	38.3013990108	45.3030479035	6.7307538882	41.0
12	38.2016972039	46.8330360566	6.84346666951	41.0
13	38.210383562	46.45614581	6.81587454477	41.0
14	38.1081507976	48.238957856	6.94542711833	41.0
15	37.9076228675	51.1770201087	7.15381157906	41.0
16	37.9504883515	50.2115576941	7.0860114094	41.0
17	38.0798878148	47.957110426	6.92510725014	41.0
18	37.9127579442	51.2237442742	7.15707651728	41.0
19	38.0173284952	49.0381244732	7.00272264717	41.0
20	37.8910840546	51.4563487961	7.17330807899	41.0
21	37.8947885079	50.9501115829	7.13793468609	41.0
22	37.9934307406	49.4908794258	7.03497543889	41.0
23	37.9971612872	49.6331024798	7.04507647083	41.0
24	38.0163528833	49.2892498215	7.02063030087	41.0
25	38.0272110549	49.0174148507	7.00124380741	41.0
26	37.9886884124	49.9820456458	7.06979813331	41.0
27	38.0241054572	49.1172541058	7.00837028886	41.0
28	38.0145759416	49.1749624246	7.01248617999	41.0
29	37.9604004533	50.4172575335	7.10051107551	41.0
30	37.8630081305	52.0434608221	7.21411538735	41.0
31	37.5206546765	57.5942297809	7.58908622832	41.0
32	37.4240788166	58.0076820547	7.61627744076	41.0
33	37.1934505155	61.6237992599	7.85008275497	41.0
34	37.0448657278	63.4009639458	7.96247222575	41.0
35	36.9282474312	64.9355440108	8.05825936607	41.0
36	36.8583361166	65.815898124	8.11269980487	41.0
37	36.8592304542	65.4408742305	8.08955340118	41.0
38	36.8093536477	66.2970446062	8.14229971238	41.0
39	37.1132840947	61.190573454	7.82244037715	41.0
40	37.3281280405	58.3147066206	7.63640665631	41.0
41	37.4917256781	56.1376977732	7.49250944432	41.0
42	37.4868592413	56.8578319849	7.54041325028	41.0
43	37.6638239527	53.7434270279	7.33099086263	41.0
44	37.691673715	53.7464475121	7.33119686764	41.0
45	37.6729789826	54.1328443285	7.35750258773	41.0
46	37.7131017317	53.3305738359	7.30277850108	41.0
47	37.6681339875	54.2865099984	7.36793797466	41.0
48	37.6534886399	54.3133744824	7.36976081582	41.0
49	37.6089956304	54.9344766907	7.41177958999	41.0
50	37.6857266797	53.4082310285	7.30809352899	41.0
51	37.70529799	53.3040877508	7.30096485068	41.0
52	37.7014782405	53.4116519013	7.30832757211	41.0
53	37.4992879039	57.2607558568	7.56708370885	41.0
54	37.5286633961	55.9098274446	7.47728743895	41.0
55	37.6034254006	54.4421398644	7.3784917066	41.0
56	37.6097717997	54.6177817583	7.39038441208	41.0
57	37.533572041	56.2492421508	7.49994947655	41.0
58	37.4965588293	56.7350354297	7.53226628776	41.0
59	37.4224281313	57.7810659286	7.60138579001	41.0
60	37.3997389499	57.9985254635	7.61567629718	41.0
61	37.4369327522	57.2499354882	7.56636871215	41.0
62	37.4502241483	57.1344038993	7.55873031	41.0
63	37.3651621783	58.864156555	7.67229799701	41.0
64	37.3962929128	57.9152388059	7.61020622624	41.0
65	37.3253151632	59.4905070704	7.71300895049	41.0
66	37.3872665449	58.0001901256	7.61578558821	41.0
67	37.2724434037	60.1129802705	7.75325610763	41.0
68	37.2247006578	60.6076449604	7.78509119795	41.0
69	37.2666261473	59.6604369593	7.72401689274	41.0
70	37.2531479379	59.9502136167	7.74275232826	41.0
71	37.1819688556	61.1417809857	7.81932100542	41.0
72	37.118008246	62.1099305711	7.88098538072	41.0
73	37.1195575899	62.0791793991	7.87903416664	41.0
74	37.1111079732	61.8956901245	7.867381402 41.0
75	36.9880012866	63.7679498488	7.98548369536	41.0
76	36.0384096536	64.4910489203	8.03063191289	41.0
77	36.4523796751	66.6818148807	8.16589339146	41.0
78	36.9083341596	61.8862055855	7.8667786028	41.0
79	37.025696187	62.1549274334	7.88383963772	41.0
80	37.1579419358	60.4165170097	7.77280625062	41.0
81	37.1652856462	61.0002204406	7.81026378816	41.0
82	37.1902748613	60.4569735271	7.77540825469	41.0
83	37.0908919171	62.3167524986	7.89409605329	41.0
84	36.9997880753	63.5700130958	7.97308052736	41.0
85	37.0002316357	63.2367061784	7.95215104097	41.0
86	36.9298953427	64.1919412892	8.01198734954	41.0
87	36.9278633477	63.4695061386	7.96677514046	41.0
88	36.8875668809	63.7109135893	7.98191165005	41.0
89	36.8048876795	64.632356919	8.03942516098	41.0
90	36.7642049323	64.7877289481	8.04908249108	41.0
91	36.6674371411	66.2129306791	8.13713282914	41.0
92	36.6321745938	66.2105156582	8.13698443272	41.0
93	36.583414126	66.9665911352	8.18331174618	41.0
94	36.4025318707	70.0295802509	8.36836783673	41.0
95	36.4076824732	68.8805626627	8.29943146624	41.0
96	36.4093558029	68.7139938903	8.28939044142	41.0
97	36.3192965127	69.9541239681	8.36385819871	41.0
98	36.0642297896	74.2643857762	8.61767867678	41.0
99	36.1392684364	73.0298868437	8.54575256158	41.0
100	34.125120382	89.914649894	9.48233356796	37.0
