BPPosition	MeanScore	Variance	StDev	Median
0	31.199119853	14.1259586896	3.7584516346	32.0
1	31.3290736195	10.3873073447	3.22293458586	32.0
2	35.6742120044	10.8921257424	3.30032206647	37.0
3	36.0566978422	11.7629425786	3.42971464974	37.0
4	36.1953612249	11.6329101814	3.41070523226	37.0
5	39.6859999345	14.5753337121	3.81776553917	41.0
6	39.8817994177	13.2080340801	3.63428591062	41.0
7	40.0572490157	11.3366019708	3.36698707612	41.0
8	40.1206827285	10.7529901305	3.27917522107	41.0
9	40.1669316553	10.1433498243	3.18486260682	41.0
10	40.1844451842	9.88780633476	3.14448824688	41.0
11	40.19742842	9.72881446374	3.11910475357	41.0
12	40.1406337285	10.6701181545	3.26651467997	41.0
13	40.1449520846	10.5886706798	3.25402376756	41.0
14	40.1570625841	10.4662916786	3.23516486111	41.0
15	40.1457227432	10.701300667	3.27128425347	41.0
16	40.0623325932	12.739300746	3.5692157046	41.0
17	40.0951122579	11.4394897612	3.38223147659	41.0
18	40.1040514234	11.2262434149	3.35055867205	41.0
19	40.0959993787	11.439554153	3.3822409957	41.0
20	40.0690216655	11.9279388294	3.45368481906	41.0
21	40.1284427647	10.9320785764	3.30636939504	41.0
22	40.0609694367	12.097080254	3.47808571689	41.0
23	40.1048132696	11.4180830862	3.37906541609	41.0
24	40.063932479	12.1008299738	3.47862472449	41.0
25	40.0514669471	12.8630438306	3.58650858505	41.0
26	39.9976772729	14.1007774276	3.75510018876	41.0
27	40.0210804711	13.5863888244	3.68597189686	41.0
28	39.9645170103	14.4318821643	3.79893171356	41.0
29	40.0085813224	13.8169776959	3.71711954286	41.0
30	39.91714632	15.55278564	3.94370202221	41.0
31	39.9729747029	14.2618583624	3.77648756948	41.0
32	39.9533046899	14.6079566775	3.82203567193	41.0
33	39.992783356	13.9711345738	3.73779809163	41.0
34	40.0099115372	13.7054341855	3.70208511322	41.0
35	40.0023220644	13.9258697153	3.73173816274	41.0
36	39.9917211308	14.1738013868	3.7648109364	41.0
37	39.9660316573	14.6998029203	3.83403220126	41.0
38	39.9757090182	14.461223836	3.80279158461	41.0
39	39.9675448561	14.7264057724	3.83749993777	41.0
40	39.9498494601	15.0480873818	3.87918643298	41.0
41	39.9383600065	15.2243842104	3.90184369374	41.0
42	39.9379505294	15.2699828603	3.90768254344	41.0
43	39.9302532225	15.3648123817	3.91979749243	41.0
44	39.8445115521	17.3619473206	4.1667670106	41.0
45	39.883936743	15.9889899636	3.99862350861	41.0
46	39.8929668911	15.8628842142	3.98282364839	41.0
47	39.8900242226	16.0201726403	4.00252078574	41.0
48	39.8865589409	16.0627092375	4.00783098914	41.0
49	39.8806724626	16.1762025464	4.02196501059	41.0
50	39.8837576374	16.1151069324	4.01436258108	41.0
51	39.8756643786	16.3008917729	4.03743628716	41.0
52	39.7957758274	18.148230579	4.26007401098	41.0
53	39.8323006808	16.8396024453	4.10360846637	41.0
54	39.8426590308	16.7415313868	4.09164164936	41.0
55	39.8382320429	16.872799536	4.10765134061	41.0
56	39.7874668393	18.130034694	4.25793784524	41.0
57	39.8061705067	17.3816235573	4.16912743356	41.0
58	39.7956603348	17.5402626539	4.18810967548	41.0
59	39.7858405535	17.7744719048	4.21597816702	41.0
60	39.7671509637	18.0966265782	4.25401299695	41.0
61	39.7608846239	18.1676421843	4.26235171991	41.0
62	39.7117047497	19.4273629131	4.40764822928	41.0
63	39.7322142013	18.6555186195	4.31920347049	41.0
64	39.722911363	18.8791112062	4.34500992015	41.0
65	39.7126738813	19.0382854441	4.36328837508	41.0
66	39.7011210848	19.2272509828	4.3848889362	41.0
67	39.6889149756	19.4750914627	4.41305919547	41.0
68	39.67719585	19.7046389598	4.43899075915	41.0
69	39.5880350949	21.6130553919	4.64898433982	41.0
70	39.606891566	20.8308436573	4.56408190738	41.0
71	39.6079467463	20.9382446943	4.5758326777	41.0
72	39.6015810289	21.1126913681	4.59485487998	41.0
73	39.5804127539	21.4549483282	4.63194865345	41.0
74	39.560464405	21.8940349416	4.67910621183	41.0
75	39.5481373293	22.015932193	4.69211382992	41.0
76	38.8637778931	26.9811846059	5.19434159503	41.0
77	39.2485207464	24.6488114776	4.96475694043	41.0
78	39.3552459159	24.65395776	4.96527519479	41.0
79	39.403497492	24.375928287	4.93719842491	41.0
80	39.4930951309	22.6377328651	4.75791265841	41.0
81	39.5046363658	22.84733254	4.7798883397	41.0
82	39.4801351286	23.3329636996	4.83042065452	41.0
83	39.4670474953	23.5495669824	4.8527896083	41.0
84	39.4525467037	23.7907087445	4.87757201326	41.0
85	39.4420991752	23.9370321596	4.89254863641	41.0
86	39.4041163778	24.7726017494	4.97720822846	41.0
87	39.2605144522	27.7763149313	5.27032398731	41.0
88	39.3035376984	26.1487259108	5.11358249282	41.0
89	39.3110030504	26.2640541576	5.12484674479	41.0
90	39.2978140512	26.4062918523	5.13870527003	41.0
91	39.2569523825	27.2001557404	5.21537685507	41.0
92	39.2224071904	27.7662585798	5.26936984655	41.0
93	39.1690909623	29.0020905603	5.38535890729	41.0
94	39.1444815596	29.0867537051	5.39321367137	41.0
95	39.1517728258	28.9425414588	5.37982727035	41.0
96	39.1337554742	29.3671028877	5.41914226494	41.0
97	38.908118062	33.9933112703	5.8303783128	41.0
98	38.9666222529	31.9653400826	5.65378988667	41.0
99	39.0477850645	30.4589126206	5.51895937841	41.0
100	37.9172696676	43.7269781127	6.61263775756	41.0
